blosum_score	stop	nu_mean	nu_sd	n
-6	TRUE	0	0	135
-6	FALSE	-0.216219858371	0.08660183579200335	24
-5	FALSE	-0.216219858371	0.08660183579200335	203
-4	FALSE	-0.123443271450625	0.058437794335074636	403
-3	FALSE	-0.0458627255764	0.050311362016545805	523
-2	FALSE	0.036922164265475003	0.057357674497014094	421
-1	FALSE	0.0625713231173875	0.06106268844807984	387
0	FALSE	0.12394365943205	0.09062657624801103	187
1	FALSE	0.225732656205	0.103370944348989	138
2	FALSE	0.32645278721325	0.13502942089873027	65
3	FALSE	0.32645278721325	0.13502942089873027	23
