blosum_score	stop	nu_mean	nu_sd	n
-6	TRUE	0	0	137
-6	FALSE	-0.096258697075	0.039463750310334174	24
-5	FALSE	-0.096258697075	0.039463750310334174	208
-4	FALSE	-0.092532612409	0.02944439791277502	402
-3	FALSE	-0.04949973801975	0.02351858977318316	531
-2	FALSE	0.021200563706705	0.028553585402066393	426
-1	FALSE	0.0355725722979	0.029273927368606418	387
0	FALSE	0.1089278841765	0.046869540066738546	189
1	FALSE	0.16522688611525	0.05132291482221764	140
2	FALSE	0.2192878578315	0.06586297077280188	65
3	FALSE	0.2192878578315	0.06586297077280188	23
