blosum_score	stop	nu_mean	nu_sd	n
-6	TRUE	0	0	439
-6	FALSE	0.006687877919225	0.04443532983714109	2
-5	FALSE	0.006687877919225	0.04443532983714109	204
-4	FALSE	0.057952120752093425	0.022153431931836602	722
-3	FALSE	0.0452615777426	0.01597865750883877	1209
-2	FALSE	0.001428859545725	0.02320794238008768	653
-1	FALSE	0.0018324978192575	0.01940612773171609	916
0	FALSE	-0.02726015418813	0.015669607958158926	1341
1	FALSE	-0.02057461747645	0.017411151486603653	1046
2	FALSE	-0.065719187116175	0.028921062296969613	430
3	FALSE	-0.0610121298462	0.04007924287115069	233
5	FALSE	0	0	1354
