blosum_score	stop	nu_mean	nu_sd	n
-6	TRUE	0	0	437
-6	FALSE	-0.02850270370119	0.03803753614177007	2
-5	FALSE	-0.02850270370119	0.03803753614177007	212
-4	FALSE	0.01409042315508	0.01993266044615022	725
-3	FALSE	0.02478833753828	0.014846114185013947	1212
-2	FALSE	0.0076646267668175	0.021666400667766948	654
-1	FALSE	8.495458503750001e-4	0.01719410746541897	913
0	FALSE	-0.01867590690358	0.013530335327005785	1335
1	FALSE	-0.003313690997685	0.01610900685550089	1043
2	FALSE	-0.005274120690475	0.02635712443336032	430
3	FALSE	-0.0395376884737825	0.0369415386305358	235
5	FALSE	0	0	1354
