blosum_score	stop	nu_mean	nu_sd	n
-6	FALSE	-0.4638106265	0.07792309670321729	218
-5	FALSE	-0.3583125794	0.06761976395450262	276
-4	FALSE	0.0483991451434175	0.051979263693101886	481
-3	FALSE	-0.22384211525	0.036257620142255094	809
-2	FALSE	0.0126378216576425	0.04361838204707265	606
-1	FALSE	-0.015243294625875	0.053307142146362674	483
0	FALSE	0.46987912375	0.0777349406063464	254
1	FALSE	0.82609461825	0.0902116469560591	196
2	FALSE	0.742977114	0.1428238886056885	82
3	FALSE	0.69678582874	0.22894725681633082	22
