blosum_score	stop	nu_mean	nu_sd	n
-6	TRUE	0	0	223
-6	FALSE	0.839152807	0.05977421717731685	34
-5	FALSE	0.839152807	0.05977421717731685	368
-4	FALSE	0.46861641975	0.04161182345550821	702
-3	FALSE	0.069797043341825	0.03126988551414683	977
-2	FALSE	-0.2780939935	0.03713094080380541	767
-1	FALSE	-0.3017546365	0.03751724215237639	704
0	FALSE	-0.276648338725	0.05923431054472788	327
1	FALSE	-0.6477251555	0.06575752609455315	247
2	FALSE	-0.41653136005	0.0889924359513482	104
3	FALSE	-0.41653136005	0.0889924359513482	36
