blosum_score	stop	nu_mean	nu_sd	n
-6	FALSE	0.15292781933725	0.20235604633731424	11
-5	FALSE	-0.084629766414	0.07977738237964532	93
-4	FALSE	-0.062660574988275	0.06118148870446475	149
-3	FALSE	-0.1484122788805	0.05160802824994693	206
-2	FALSE	-0.0882869939763	0.05149878784595237	201
-1	FALSE	0.076792899569775	0.046973243082693544	210
0	FALSE	0.23378414201	0.08259663397071391	91
1	FALSE	0.1495780289315	0.10286862154572475	54
2	FALSE	0.46037358063	0.16665106770807786	20
3	FALSE	0.915785271275	0.3585631853641007	10
