blosum_score	stop	nu_mean	nu_sd	n
-6	TRUE	0	0	37
-6	FALSE	-0.31848054103825	0.10847302934229353	12
-5	FALSE	-0.31848054103825	0.10847302934229353	58
-4	FALSE	-0.21796881825575	0.06958900947794357	95
-3	FALSE	-0.06933808092355	0.06078390122599214	132
-2	FALSE	-0.0256139020618	0.06635602308359569	107
-1	FALSE	0.1594536121275	0.0713333853209148	90
0	FALSE	0.193707009659625	0.08652279133680377	62
1	FALSE	0.363320856275	0.10670975992541124	50
2	FALSE	0.39758813268025	0.22615737433003963	11
3	FALSE	0.49948470423125	0.2424984675922796	12
