blosum_score	stop	nu_mean	nu_sd	n
-6	TRUE	0	0	23
-6	FALSE	-0.2496191254925	0.06824003268327299	36
-5	FALSE	-0.2496191254925	0.06824003268327299	493
-4	FALSE	-0.144420265785	0.04595007736180324	954
-3	FALSE	-0.109622289915	0.04023534169191991	1221
-2	FALSE	-0.032071854985775	0.044103208392226805	1024
-1	FALSE	0.10132081265864	0.047395737771180474	801
0	FALSE	0.2776718716	0.07239308759204688	414
1	FALSE	0.4148389745	0.08293637958856273	276
2	FALSE	0.68937299575	0.15283356943204776	109
3	FALSE	0.78099227515	0.2057677823342531	65
5	FALSE	0	0	273
