blosum_score	stop	nu_mean	nu_sd	n
-7	TRUE	0	0	534
-6	FALSE	0.63123049	0.048208532898649174	71
-5	FALSE	0.63123049	0.048208532898649174	961
-4	FALSE	0.538157377	0.03472470773152613	1876
-3	FALSE	0.332304612	0.028570049074889557	2352
-2	FALSE	-0.240329319	0.031652427224471105	2034
-1	FALSE	-0.367506712	0.041605208747174334	1473
0	FALSE	-0.79821339	0.05646667351916722	780
1	FALSE	-0.880466349	0.07648811958562549	506
2	FALSE	-1.059396461	0.08204670977856435	209
3	FALSE	-1.059396461	0.08204670977856435	116
5	FALSE	0	0	519
