blosum_score	stop	nu_mean	nu_sd	n
-6	TRUE	0	0	47
-6	FALSE	-0.74084211975	0.07822220231636422	8
-5	FALSE	-0.74084211975	0.07822220231636422	137
-4	FALSE	-0.40460797475	0.06077491592411715	216
-3	FALSE	-0.1253287779395	0.05085335632285867	291
-2	FALSE	0.193644309001	0.06364392667280114	203
-1	FALSE	0.399128427	0.06169134473244521	203
0	FALSE	0.53897395675	0.10171718137194395	86
1	FALSE	0.8653448975	0.15327828924760728	46
2	FALSE	1.07815723625	0.22933244342461276	9
3	FALSE	1.07815723625	0.22933244342461276	14
