blosum_score	stop	nu_mean	nu_sd	n
-6	TRUE	0	0	57
-6	FALSE	-1.329138786	0.14153819724255134	8
-5	FALSE	-1.329138786	0.14153819724255134	151
-4	FALSE	-0.8480533945	0.10471623928085916	250
-3	FALSE	-0.37418059355	0.08327162631018499	316
-2	FALSE	0.1867888739325	0.09987629602135688	242
-1	FALSE	0.743707418	0.1119158696718047	231
0	FALSE	1.0759861105	0.17881824390003573	93
1	FALSE	1.8924679125	0.2532148207409631	65
2	FALSE	2.8197517775	0.3392996221103209	17
3	FALSE	2.8197517775	0.3392996221103209	19
