blosum_score	stop	nu_mean	nu_sd	n
-6	TRUE	0	0	23
-6	FALSE	-0.90417707425	0.13724753507375348	30
-5	FALSE	-0.90417707425	0.13724753507375348	386
-4	FALSE	-0.5844261525	0.10179169607047016	727
-3	FALSE	-0.45275683725	0.08622353215063969	944
-2	FALSE	-0.079705464523261	0.10067747366958568	715
-1	FALSE	0.03482025511665	0.1271830844592722	548
0	FALSE	1.8292440699999999	0.1807897698564725	311
1	FALSE	2.1473443575	0.2152929416884641	212
2	FALSE	1.863030227	0.293148108522153	85
3	FALSE	1.863030227	0.293148108522153	45
5	FALSE	0	0	262
