blosum_score	stop	nu_mean	nu_sd	n
-6	TRUE	0	0	22
-6	FALSE	-0.70094786975	0.09437249038937862	34
-5	FALSE	-0.70094786975	0.09437249038937862	466
-4	FALSE	-0.4410489855	0.06938800174926482	912
-3	FALSE	-0.28009762975	0.058796588201388826	1165
-2	FALSE	-0.08969747748175	0.06706293615339903	967
-1	FALSE	0.19050944057475	0.08668473172436712	747
0	FALSE	0.9870270555	0.1181152831825744	389
1	FALSE	1.585595241	0.14739455748517305	259
2	FALSE	1.70533069525	0.23548701572992878	108
3	FALSE	0.70877570712349	0.2916661845159636	63
5	FALSE	0	0	273
