blosum_score	stop	nu_mean	nu_sd	n
-6	TRUE	0	0	23
-6	FALSE	-0.774210688	0.1334455919858849	31
-5	FALSE	-0.774210688	0.1334455919858849	393
-4	FALSE	-0.542898905	0.0930808098142893	756
-3	FALSE	-0.40032595025	0.07533156998951068	973
-2	FALSE	-0.0683589954444855	0.09132838713819301	751
-1	FALSE	-0.0055350548274	0.11218252468674612	566
0	FALSE	1.4191345515	0.16284221768799156	320
1	FALSE	2.24951751	0.19265472543687628	215
2	FALSE	1.85541796	0.2669873512390967	84
3	FALSE	1.85541796	0.2669873512390967	48
5	FALSE	0	0	264
