blosum_score	stop	nu_mean	nu_sd	n
-6	TRUE	0	0	23
-6	FALSE	-0.58452444925	0.09905232852623679	31
-5	FALSE	-0.58452444925	0.09905232852623679	391
-4	FALSE	-0.39850605175	0.07117886338549728	750
-3	FALSE	-0.35092715	0.0607552215894823	966
-2	FALSE	-0.17379173067675	0.07204697494027403	740
-1	FALSE	-0.10402279203875	0.08692671672279412	555
0	FALSE	1.1805417375	0.12445958462123002	322
1	FALSE	2.02385175	0.16103509811433556	215
2	FALSE	1.92195819	0.21338472875944248	86
3	FALSE	1.92195819	0.21338472875944248	47
5	FALSE	0	0	264
