blosum_score	stop	nu_mean	nu_sd	n
-6	TRUE	0	0	22
-6	FALSE	-0.697641167	0.0881415940683219	34
-5	FALSE	-0.697641167	0.0881415940683219	462
-4	FALSE	-0.3800823955	0.06046980846921591	914
-3	FALSE	-0.2193696019	0.052444672553399976	1164
-2	FALSE	-0.1246967577339	0.06095458407491781	966
-1	FALSE	0.0960930514966	0.07297976992305999	741
0	FALSE	1.017783504	0.10465037785915539	388
1	FALSE	1.428502455	0.1319201925262847	258
2	FALSE	1.6957809575	0.20841363976649507	108
3	FALSE	0.816280701225	0.2695747402595188	63
5	FALSE	0	0	273
