blosum_score	stop	nu_mean	nu_sd	n
-6	TRUE	0	0	23
-6	FALSE	-0.95173221525	0.13236958235431048	31
-5	FALSE	-0.95173221525	0.13236958235431048	404
-4	FALSE	-0.66498827775	0.0936724916057164	785
-3	FALSE	-0.5792713755	0.08104949726034727	1012
-2	FALSE	-0.055063558624	0.09131774294165197	803
-1	FALSE	0.24194626113875	0.11926460628443847	608
0	FALSE	1.67507439	0.15746097617690089	339
1	FALSE	2.230034475	0.19626959403983216	227
2	FALSE	2.3978235225	0.25225325484919414	90
3	FALSE	2.3978235225	0.25225325484919414	54
5	FALSE	0	0	270
