blosum_score	stop	nu_mean	nu_sd	n
-6	TRUE	0	0	22
-6	FALSE	-0.594018854	0.09414558317171268	34
-5	FALSE	-0.594018854	0.09414558317171268	466
-4	FALSE	-0.38031995175	0.0639686651900911	913
-3	FALSE	-0.31808358375	0.054980220736534385	1167
-2	FALSE	0.041556824854725	0.06196598629997272	969
-1	FALSE	0.105267475359	0.07141611020833286	750
0	FALSE	0.91167764025	0.10536943148392298	391
1	FALSE	1.180220103	0.11948530164329037	259
2	FALSE	1.1773136085	0.20996190176711022	108
3	FALSE	1.69735018325	0.26998463731148337	63
5	FALSE	0	0	273
