blosum_score	stop	nu_mean	nu_sd	n
-6	TRUE	0	0	23
-6	FALSE	-0.78891089775	0.13137771267645748	32
-5	FALSE	-0.78891089775	0.13137771267645748	394
-4	FALSE	-0.43637396875	0.09013809144382888	762
-3	FALSE	-0.2312820481425	0.07483725828420212	992
-2	FALSE	0.1016265530295	0.08766368198027241	761
-1	FALSE	-0.027123273476825	0.10164597915444194	576
0	FALSE	1.01606557975	0.13177957597053264	326
1	FALSE	1.4961846265	0.16374240099119894	221
2	FALSE	1.29196909625	0.23060265241292965	87
3	FALSE	1.29196909625	0.23060265241292965	48
5	FALSE	0	0	269
