blosum_score	stop	nu_mean	nu_sd	n
-6	TRUE	0	0	22
-6	FALSE	-1.037598982	0.14701390116228946	34
-5	FALSE	-1.037598982	0.14701390116228946	464
-4	FALSE	-0.681741099	0.10133023201015334	912
-3	FALSE	-0.330092313325	0.09113070295245546	1168
-2	FALSE	-0.322846420655	0.09964879064249185	970
-1	FALSE	-0.0068003431335	0.1327157515638336	742
0	FALSE	2.0480088625	0.20792088173460696	389
1	FALSE	2.1516967225	0.2655180046608568	259
2	FALSE	4.13890879	0.43624876244743677	108
3	FALSE	0.654918323159	0.5061483598537927	63
5	FALSE	0	0	273
