blosum_score	stop	nu_mean	nu_sd	n
-6	TRUE	0	0	23
-6	FALSE	-0.905891215	0.11657514744697235	32
-5	FALSE	-0.905891215	0.11657514744697235	402
-4	FALSE	-0.475188215	0.08227810854421531	790
-3	FALSE	-0.474763425	0.07052603406800013	1000
-2	FALSE	-0.03305627009515	0.08184511030864995	791
-1	FALSE	-0.0480977734338325	0.10226749484603184	604
0	FALSE	1.500247112	0.143443498587462	332
1	FALSE	2.16284242	0.17069011129710254	229
2	FALSE	2.1796037025	0.24271184250864228	89
3	FALSE	2.1796037025	0.24271184250864228	51
5	FALSE	0	0	267
