blosum_score	stop	nu_mean	nu_sd	n
-6	TRUE	0	0	22
-6	FALSE	-0.813595632	0.10811487315484812	34
-5	FALSE	-0.813595632	0.10811487315484812	464
-4	FALSE	-0.454542631	0.07459069416161253	913
-3	FALSE	-0.3137978552	0.06411090836767534	1165
-2	FALSE	-0.131047399556725	0.07106429946185494	967
-1	FALSE	0.136610601794925	0.09184859397400905	741
0	FALSE	1.27369865175	0.14169517690170605	389
1	FALSE	1.842382005	0.17295847770442602	260
2	FALSE	1.76664040325	0.28425089243799057	108
3	FALSE	0.7293916599	0.3242885563556239	63
5	FALSE	0	0	273
