blosum_score	stop	nu_mean	nu_sd	n
-6	TRUE	0	0	23
-6	FALSE	-0.778191623	0.12316338099081295	32
-5	FALSE	-0.778191623	0.12316338099081295	396
-4	FALSE	-0.47880450325	0.08952230522627724	777
-3	FALSE	-0.54149554125	0.07443837498252033	987
-2	FALSE	-0.1468317522921125	0.09137318223288422	766
-1	FALSE	0.023448632249725	0.11128503290024726	588
0	FALSE	1.615195635	0.15037130498249096	326
1	FALSE	2.3040541975	0.1988077820797261	223
2	FALSE	2.190299125	0.255435603131731	88
3	FALSE	2.190299125	0.255435603131731	48
5	FALSE	0	0	268
