blosum_score	stop	nu_mean	nu_sd	n
-6	TRUE	0	0	22
-6	FALSE	-1.203011867	0.15488334347504193	34
-5	FALSE	-1.203011867	0.15488334347504193	462
-4	FALSE	-0.71974751375	0.11327809240446059	914
-3	FALSE	-0.379132601975	0.09846345534210568	1170
-2	FALSE	-0.2920154178875	0.10928983920249685	972
-1	FALSE	0.1750415132125	0.14705138615326668	747
0	FALSE	1.8948835875	0.22738249509268185	390
1	FALSE	2.14645802	0.284531185433426	259
2	FALSE	4.8801625625	0.5266022629365459	108
3	FALSE	0.45650709662925	0.5467244983038376	64
5	FALSE	0	0	273
