blosum_score	stop	nu_mean	nu_sd	n
-6	TRUE	0	0	23
-6	FALSE	-0.8217919275	0.12641544248571238	32
-5	FALSE	-0.8217919275	0.12641544248571238	412
-4	FALSE	-0.547768071	0.09199064565732525	803
-3	FALSE	-0.48480747075	0.07794361039378372	1016
-2	FALSE	-0.06345186317525	0.09129158114048515	812
-1	FALSE	0.038768870565825	0.10969115890026225	619
0	FALSE	1.5316211775	0.15170168511804807	331
1	FALSE	2.187506495	0.185126972198472	233
2	FALSE	2.0963751725	0.2457150944228438	94
3	FALSE	2.0963751725	0.2457150944228438	53
5	FALSE	0	0	267
