blosum_score	stop	nu_mean	nu_sd	n
-6	TRUE	0	0	22
-6	FALSE	-1.653133905	0.16452487120360287	34
-5	FALSE	-1.653133905	0.16452487120360287	463
-4	FALSE	-1.0104139725	0.11285576123922503	912
-3	FALSE	-0.57898964005	0.10622990085017921	1171
-2	FALSE	-0.21658762513775	0.11392694859311064	974
-1	FALSE	0.4021156235925	0.16510434178000796	744
0	FALSE	2.416627275	0.2287437446043023	391
1	FALSE	3.24204897	0.3151051090062958	260
2	FALSE	4.215629785	0.5093558326975647	108
3	FALSE	1.4247974131975	0.6625241043718133	63
5	FALSE	0	0	273
