blosum_score	stop	nu_mean	nu_sd	n
-6	TRUE	0	0	23
-6	FALSE	-1.56141417625	0.22880758315515026	32
-5	FALSE	-1.56141417625	0.22880758315515026	393
-4	FALSE	-1.12142377325	0.15969055210922176	752
-3	FALSE	-0.90275786475	0.14146209428961937	968
-2	FALSE	-0.1528497351630225	0.16245281916835663	748
-1	FALSE	0.0973289093421675	0.23863354681856883	564
0	FALSE	3.06609666	0.3123977167624693	319
1	FALSE	4.145147565	0.42468170103539826	214
2	FALSE	4.2284781975	0.5558895041912048	89
3	FALSE	4.2284781975	0.5558895041912048	47
5	FALSE	0	0	263
