blosum_score	stop	nu_mean	nu_sd	n
-6	TRUE	0	0	22
-6	FALSE	-1.6801607475	0.18663324095032788	34
-5	FALSE	-1.6801607475	0.18663324095032788	462
-4	FALSE	-1.00927283425	0.1294165338373169	912
-3	FALSE	-0.72463479	0.11567998505394708	1164
-2	FALSE	-0.05442985865227	0.12410122928627004	969
-1	FALSE	0.46009739791	0.18287123856838824	745
0	FALSE	2.28989954	0.2544280771258272	390
1	FALSE	3.3177538475	0.32899316649274263	259
2	FALSE	3.8642275725	0.567797853791184	108
3	FALSE	2.18358331125	0.6184778334394959	63
5	FALSE	0	0	273
