blosum_score	stop	nu_mean	nu_sd	n
-6	TRUE	0	0	23
-6	FALSE	-1.743615254	0.25291403884099967	32
-5	FALSE	-1.743615254	0.25291403884099967	394
-4	FALSE	-1.074716249	0.1759962296501299	756
-3	FALSE	-0.807747355	0.15337167819998726	975
-2	FALSE	0.073415220894325	0.18135438488313443	749
-1	FALSE	0.1017609457925575	0.236173421721909	571
0	FALSE	2.7392078125	0.33336781516515185	321
1	FALSE	3.90247851	0.43613807710730285	212
2	FALSE	3.9038403625	0.5480744655489711	87
3	FALSE	3.9038403625	0.5480744655489711	47
5	FALSE	0	0	266
