blosum_score	stop	nu_mean	nu_sd	n
-6	TRUE	0	0	22
-6	FALSE	-1.63759266275	0.18201512046749224	34
-5	FALSE	-1.63759266275	0.18201512046749224	462
-4	FALSE	-1.03656452875	0.12631409293340973	914
-3	FALSE	-0.6653909045	0.11433072586841116	1168
-2	FALSE	-0.17499715041208	0.12860604584713722	969
-1	FALSE	0.4304217017755	0.18487356593966872	749
0	FALSE	2.401414025	0.25824694778604756	391
1	FALSE	3.457204095	0.32059898035689766	260
2	FALSE	4.29344858	0.5832564039875445	108
3	FALSE	1.309690482878	0.5969176756985298	63
5	FALSE	0	0	273
