blosum_score	stop	nu_mean	nu_sd	n
-6	TRUE	0	0	23
-6	FALSE	-0.778760504	0.127674298551847	33
-5	FALSE	-0.778760504	0.127674298551847	405
-4	FALSE	-0.49122503024999997	0.08902356237660561	781
-3	FALSE	-0.46814885575	0.07581605802331713	998
-2	FALSE	-0.0685037519825	0.08568243639306844	789
-1	FALSE	0.064875105835975	0.10448343535754201	601
0	FALSE	1.465231075	0.15076494458669407	328
1	FALSE	2.0170983025	0.1803985490131919	226
2	FALSE	1.932542245	0.25148984985234424	91
3	FALSE	1.932542245	0.25148984985234424	49
5	FALSE	0	0	268
