blosum_score	stop	nu_mean	nu_sd	n
-6	TRUE	0	0	22
-6	FALSE	-0.735526788	0.10890988211963083	34
-5	FALSE	-0.735526788	0.10890988211963083	463
-4	FALSE	-0.341661580075	0.07607578826656403	913
-3	FALSE	-0.35309238175	0.0672907225649409	1164
-2	FALSE	-0.03465312188959975	0.0718598164143608	968
-1	FALSE	0.140375388191375	0.08740552284942892	747
0	FALSE	1.02172551225	0.12063143744603612	392
1	FALSE	1.4426410985	0.15055477796980135	261
2	FALSE	1.17162955225	0.25200582948049893	108
3	FALSE	1.803102546	0.31178200030246783	63
5	FALSE	0	0	273
