blosum_score	stop	nu_mean	nu_sd	n
-6	TRUE	0	0	23
-6	FALSE	-2.0070491325	0.2299837556381685	33
-5	FALSE	-2.0070491325	0.2299837556381685	424
-4	FALSE	-1.148959791	0.15900826502173754	833
-3	FALSE	-0.88520818425	0.13297484056676	1051
-2	FALSE	0.25133087317775	0.14916350034543888	858
-1	FALSE	0.5590606310875	0.20608128034713896	665
0	FALSE	2.4383861475	0.2734834488852786	350
1	FALSE	3.287296955	0.34289309886156893	245
2	FALSE	3.722790965	0.45444286780798326	94
3	FALSE	3.722790965	0.45444286780798326	56
5	FALSE	0	0	272
