blosum_score	nu_mean	nu_sd	n
-7	0.01898983606225	0.06657516817534648	553
-6	0.01294968817322	0.027308014711065854	71
-5	0.01294968817322	0.027308014711065854	970
-4	0.01294968817322	0.027308014711065854	1894
-3	-0.01080767855415	0.029274085278836057	2383
-2	-0.055925126685825	0.033576176897793415	2058
-1	0.020078200603775	0.040733527073074656	1501
0	0.086572595270225	0.056743725747004765	790
1	-0.00736884776356	0.05567790312105815	512
2	-0.00736884776356	0.05567790312105815	211
3	-0.00736884776356	0.05567790312105815	117
5	0	0	553
