blosum_score	stop	nu_mean	nu_sd	n	dom_ID	family
-6	TRUE	0	0	67	A0A2R8Y422_PF00240_2	PF00240
-6	FALSE	-0.12975533069023	0.10174480871181076	11	A0A2R8Y422_PF00240_2	PF00240
-5	FALSE	-0.12975533069023	0.10174480871181076	117	A0A2R8Y422_PF00240_2	PF00240
-4	FALSE	-0.216559773887	0.07712921232770811	226	A0A2R8Y422_PF00240_2	PF00240
-3	FALSE	0.0303224619593	0.06271859422591326	260	A0A2R8Y422_PF00240_2	PF00240
-2	FALSE	0.057467752362425	0.06740229032426795	223	A0A2R8Y422_PF00240_2	PF00240
-1	FALSE	0.13413807002575	0.06422463390802838	224	A0A2R8Y422_PF00240_2	PF00240
0	FALSE	0.14247976527925	0.10791547106606328	97	A0A2R8Y422_PF00240_2	PF00240
1	FALSE	-0.008766481794575	0.11733656601171066	84	A0A2R8Y422_PF00240_2	PF00240
2	FALSE	0.040022357639475	0.1935028749957944	29	A0A2R8Y422_PF00240_2	PF00240
3	FALSE	0.040022357639475	0.1935028749957944	14	A0A2R8Y422_PF00240_2	PF00240
5	FALSE	0	0	70	A0A2R8Y422_PF00240_2	PF00240
-6	TRUE	0	0	19	A0PJY2_PF00096_289	PF00096
-6	FALSE	0.22466899335275	0.24244235876832915	3	A0PJY2_PF00096_289	PF00096
-5	FALSE	0.22466899335275	0.24244235876832915	39	A0PJY2_PF00096_289	PF00096
-4	FALSE	-0.247064150111	0.13659433005426325	78	A0PJY2_PF00096_289	PF00096
-3	FALSE	-0.1905723867435	0.12643149265211398	82	A0PJY2_PF00096_289	PF00096
-2	FALSE	-0.019759409325225	0.13211103994448997	81	A0PJY2_PF00096_289	PF00096
-1	FALSE	0.2267384600883	0.15612786077928684	62	A0PJY2_PF00096_289	PF00096
0	FALSE	0.411362827934	0.23590749210813572	29	A0PJY2_PF00096_289	PF00096
1	FALSE	-0.062228708876775	0.30707788594795427	21	A0PJY2_PF00096_289	PF00096
2	FALSE	-0.13473939105425	0.5000125039915844	7	A0PJY2_PF00096_289	PF00096
3	FALSE	0.665005185405	0.7941529997726586	5	A0PJY2_PF00096_289	PF00096
5	FALSE	0	0	22	A0PJY2_PF00096_289	PF00096
-6	TRUE	0	0	52	A1X283_PF00018_155	PF00018
-6	FALSE	-0.85723120713	0.5228144828057455	14	A1X283_PF00018_155	PF00018
-5	FALSE	-1.311909764	0.1887848567355443	100	A1X283_PF00018_155	PF00018
-4	FALSE	-0.575872327	0.12495606533362633	179	A1X283_PF00018_155	PF00018
-3	FALSE	-0.22431872116075	0.09026604480649912	248	A1X283_PF00018_155	PF00018
-2	FALSE	0.1374034155107625	0.11743075743622554	167	A1X283_PF00018_155	PF00018
-1	FALSE	0.572028128	0.10589171532579532	195	A1X283_PF00018_155	PF00018
0	FALSE	0.55398789645	0.16749822148854784	81	A1X283_PF00018_155	PF00018
1	FALSE	1.07056612925	0.21199725176772885	61	A1X283_PF00018_155	PF00018
2	FALSE	1.59588598075	0.3804115638073447	22	A1X283_PF00018_155	PF00018
3	FALSE	1.47503377586	0.4807572317971602	15	A1X283_PF00018_155	PF00018
5	FALSE	0	0	58	A1X283_PF00018_155	PF00018
-6	TRUE	0	0	57	A1X283_PF00018_222	PF00018
